timestamp,city,temperature,description
2026-03-16T16:34:01.801Z,Andaman and Nicobar Islands,27.12,clear sky
2026-03-17T11:09:11.433Z,Andaman and Nicobar Islands,29.51,scattered clouds
2026-03-17T11:10:44.295Z,Andaman and Nicobar Islands,29.51,scattered clouds
2026-03-17T11:10:53.524Z,Andaman and Nicobar Islands,29.51,scattered clouds
2026-03-17T11:21:33.553Z,Andaman and Nicobar Islands,29.51,scattered clouds
2026-03-17T11:32:13.970Z,Andaman and Nicobar Islands,29.51,scattered clouds
2026-03-17T11:47:46.320Z,Andaman and Nicobar Islands,28.51,scattered clouds
2026-03-17T12:36:33.121Z,Andaman and Nicobar Islands,28.51,haze
2026-03-17T12:32:03.233Z,London,13.94,broken clouds
2026-03-17T14:21:29.521Z,Andaman and Nicobar Islands,27.27,clear sky
2026-03-17T14:31:18.295Z,Andaman and Nicobar Islands,27.27,clear sky
2026-03-17T14:35:44.000Z,Andaman and Nicobar Islands,27.2,clear sky
2026-03-17T14:37:31.402Z,Andaman and Nicobar Islands,27.2,clear sky
2026-03-17T14:58:56.719Z,Andaman and Nicobar Islands,27.51,haze
2026-03-17T14:59:31.792Z,Andaman and Nicobar Islands,27.2,clear sky
2026-03-25T16:51:59.638Z,Andaman and Nicobar Islands,26.84,clear sky
2026-03-25T17:05:14.589Z,Andaman and Nicobar Islands,26.84,clear sky
2026-03-25T18:58:47.220Z,Andaman and Nicobar Islands,27.51,haze
2026-03-25T20:41:39.754Z,Andaman and Nicobar Islands,26.06,clear sky
2026-03-25T22:39:31.454Z,Andaman and Nicobar Islands,25.45,clear sky
2026-03-26T02:34:50.191Z,Andaman and Nicobar Islands,26.51,mist
2026-03-26T05:41:51.696Z,Andaman and Nicobar Islands,31.51,few clouds
2026-03-26T07:13:14.767Z,Andaman and Nicobar Islands,31.51,few clouds
2026-03-26T09:00:37.778Z,Andaman and Nicobar Islands,30.02,clear sky
2026-03-26T10:54:23.058Z,Andaman and Nicobar Islands,29.51,few clouds
2026-03-26T13:22:26.866Z,Andaman and Nicobar Islands,27.93,clear sky
2026-03-26T15:06:59.290Z,Andaman and Nicobar Islands,27.62,clear sky
2026-03-26T17:05:13.284Z,Andaman and Nicobar Islands,26.51,mist
2026-03-26T19:10:39.703Z,Andaman and Nicobar Islands,26.85,clear sky
2026-03-26T20:38:38.294Z,Andaman and Nicobar Islands,26.35,clear sky
2026-03-26T22:33:00.858Z,Andaman and Nicobar Islands,25.64,clear sky
2026-03-27T02:36:46.615Z,Andaman and Nicobar Islands,28.74,clear sky
